||Aantal verkochte woningen;||Aantal verkochte woningen;||Aantal verkochte woningen;||Aantal verkochte woningen;||Aantal verkochte woningen;||Aantal verkochte woningen
Nederland;Groningen (PV);Zuid-Holland (PV);Noord-Brabant (PV);Amsterdam;Rotterdam
154568;5512;36098;23502;2864;4987
189358;6871;43079;28002;4951;6533
206629;6837;46171;29671;9279;7332
126127;4347;27793;17330;7697;4363
120739;4093;26328;16697;7638;4015
117261;3722;24917;16583;7205;3726
110094;3590;23116;15683;6976;3581
153511;4748;31269;22286;11285;5080
178293;5420;37498;25304;12494;6166
214793;6435;46512;30762;12415;7664
241860;7297;52198;36329;11286;8278
