Onderwerp;Prijsindex bestaande koopwoningen;Prijsindex bestaande koopwoningen;Prijsindex bestaande koopwoningen;Prijsindex bestaande koopwoningen;Prijsindex bestaande koopwoningen;Prijsindex bestaande koopwoningen;
Regio's;Nederland;Groningen (PV);Zuid-Holland (PV);Noord-Brabant (PV);Amsterdam;Rotterdam;
1995;37.6;38.1;38.9;36.2;30;37.1;
2000;71.1;62.3;69.7;69.9;68.7;67;
2005;94.4;94.5;95.4;94.8;81.9;93.3;
2010;100;100;100;100;100;100;
2011;97.6;96.9;98.3;96.8;99.7;99.3;
2012;91.3;90.7;91.9;89.9;94;94.4;
2013;85.3;85.8;86.3;83.4;89.1;89.1;
2014;86.1;85.2;87.4;83.7;93.7;90.5;
2015;88.5;87.5;90;85.6;102.8;94.5;
2016;93;91.6;94.6;88.9;116.7;101.3;
2017;100;96.8;102.5;94.3;133.1;114.4;
